id,artist,name,popularity
3KekO5WUfJsh7kYU9o2w50,Nicky Jam,Atrévete,79
4zAmejUNIsPCWsj5t1lGo4,Beéle,Loco,61
65HT0L2eAtvbH56XrJqPbf,CNCO,Pegao,79
4fj7e6Tc48Bmomwyz2Z2XC,Manuel Turizo,Te Quemaste,87
4AjWbAwRpxk2worpjNH5CS,Rich Music LTD,Quizás,74
0PabDDMMzwmn9cfJsfes7W,Wisin & Yandel,Chica Bombastic,78
1tpbAGsGpZee5jDHMcLrUJ,Dalex,Bellaquita,87
6Y6YC93R1r0CISm5iC4j27,Mau y Ricky,BOTA FUEGO,79
7MkFd0UDHlILDrhBjGZH5K,Ricky Martin,Cántalo,72
1ndyl3wJCFs872XZ3ztPk6,Justin Quiles,"DJ No Pare (feat. Zion, Dalex, Lenny Tavárez) - Remix",89
1ScD7XQYCKmJ3fdNh71lUE,Manuel Turizo,Bailemos,79
2dy3TKVDEbIeWxeIb8JWqZ,Natti Natasha,La Mejor Versión de Mi - Remix,81
1RKZvaLj3UPhGjZkaIrFm7,Major Lazer,Que Calor (feat. J Balvin & El Alfa),79
09nSCeCs6eYfAIJVfye1CE,TINI,Oye,84
2B94bbI1a4LyBpK1439oP7,Noriel,Cuerpo en Venta,86
1cVlW9WQiGlFdWUXFdFZGh,Piso 21,Pa' Olvidarme De Ella,86
2EEmzqzM70CybVspgM7YRT,Mau y Ricky,La Boca - Remix,85
1KdwnsWOvhM53vezy5ROuf,C. Tangana,No Te Debí Besar,84
4BCPItsB94KDLuERZT3aNM,TINI,Fresa,84
1f38Gx6xQz6r4H1jGVNBJo,DJ Snake,Loco Contigo (with J. Balvin & Tyga),69
6leWDI4bYOmUJgQBU9pzpt,Mariah,Una Noche Más,72
1sD32hk8V2vR4ME7M0rPT5,Cali Y El Dandee,Tequila Sunrise,77
7MRU4vOkywuhZ9kbFiPuiu,Daddy Yankee,Si Supieras,84
2zkVH2daHyjS51g7PRJFDn,Abraham Mateo,¿Qué Ha Pasao'?,76
4Clmg1g8n2yBYG13Z1oSdG,Dayvi,Baila Conmigo (feat. Kelly Ruiz),85
1Q4DK5GLldkubj5GtCzbs7,Danny Ocean,Cuando Me Acerco A Ti,75
3bCuNSiaBHqxdevMYEnGpe,Jesse & Joy,Tanto,79
4ziiAuFyXiY1HNSLGM1xv8,Becky G,DOLLAR,81
4XfCa8VFYeTsKbXrVlpKIa,CNCO,De Cero,75
3ksmU0DaEUMEVzx5V6cc3z,Old Dominion,One Man Band,73
1s71G3V7XQaVo5IOR6gLbp,Kelsea Ballerini,homecoming queen?,76
6JOeNbZ3X6dtXusG3hkHn8,Keith Urban,We Were,73
5M3v6frAiTyqenNAeQVcxC,Luke Bryan,What She Wants Tonight,72
1iiehnBysGi59zXYXIuKQD,Carly Pearce,I Hope You’re Happy Now,72
6ZvAXIWw3rw8WR0Xlmifri,Jon Pardi,Heartache Medication,74
40ufL61vEaDaaOitYhnlQ7,Kenny Chesney,Tip of My Tongue,75
4w8UZeD3yRv64dLiGQUbar,Jason Aldean,We Back,52
5GQSXvOHP28X4Ee5Zt3XYh,Kelsea Ballerini,club,68
2uJwGoHVPStmWV7iTKEhcn,Jimmie Allen,Make Me Want To,16
31JID2STTlLuFqXFWHyM8e,Jake Owen,Homemade,70
5FmvaZGd6fulojSToozLRD,HIXTAPE,"One Beer (HARDY feat. Lauren Alaina, Devin Dawson)",68
53F1MVa1BWUkTBbVqgVAfN,Sam Hunt,Kinfolks,77
5DrmJ25aHuPBImk1kLp5Of,Chris Young,Town Ain't Big Enough,65
277YJPrwcN4a1W3xaP06T0,Willie Jones,Bachelorettes on Broadway,69
2Hc4t9N2nt37oO4sF9BynI,Gabby Barrett,I Hope,76
5OBtr92M0xsvOGqpnz3LzW,Dustin Lynch,Ridin' Roads,75
3y8xKFhQWc8DARB3fuGMGA,Blake Shelton,Hell Right (feat. Trace Adkins),74
5MwynWK9s4hlyKHqhkNn4A,Morgan Wallen,Chasin' You,77
1Ut1A8UaNqGuwsHgWq75PW,Chase Rice,Lonely If You Are,71
5QZFaimQx9Hgv0hZQp9hpp,Miranda Lambert,It All Comes Out in the Wash,70
7dnDBbHKyJNFXoeVwO8KBY,Florida Georgia Line,Blessings,72
7kaVqrNf9L90pCslMxE9zP,Luke Combs,What You See Is What You Get,73
3cxO7LSsDe8gwqdzSTxdON,Clare Dunn,Gold To Glitter,64
0rFQ5cKYJ9WtHSKp9sxVYt,Diplo,Heartless (feat. Morgan Wallen),85
1kqVSbwdlNKsPGv0aehcAZ,Lady Antebellum,What If I Never Get Over You,73
6LQxv30jh0lCISHsPYwqoy,Mitchell Tenpenny,Anything She Says (feat. Seaforth),73
64wjSAPLRnrjNByQCxnX3u,Ryan Hurd,To a T,74
2SHbF9xWleu30pAHfOZaEn,Dylan Scott,Nobody,18
